hotspotname,num_post,face_total, face_mean,face_std,face_exists_num,face_exists_prob,selfie_num,selfie_prob,h_mean,s_mean,v_mean,h_std,s_std,v_std
sujis,235.0,156,0.757281553398,1.14456096147,93,0.45145631068,6,0.0291262135922,67.0776699029,46.4572625167,63.472301542,79.0097928452,26.5366093938,24.6530007821
kakao,364.0,311,0.945288753799,1.13926227606,192,0.58358662614,15,0.0455927051672,97.1185410334,40.072709935,60.2526968234,107.470563962,26.4670159805,26.5882971084
pfchang,123.0,43,0.377192982456,0.680432665207,34,0.298245614035,2,0.0175438596491,58.8421052632,45.2528379773,59.219126247,79.2694249753,26.7791199424,28.3410898554
burgerb,291.0,119,0.487704918033,0.916522103054,75,0.30737704918,5,0.0204918032787,55.9098360656,38.3092253295,59.3056894889,77.1921706828,25.4934637753,25.2030303024
theplace,178.0,67,0.540322580645,0.945270003656,43,0.346774193548,4,0.0322580645161,61.5,37.7039848197,59.9272612271,85.7455444154,24.8650382713,25.9561540982
megabox,2839.0,2485,1.16013071895,1.7582770994,1147,0.53548085901,141,0.0658263305322,98.2072829132,29.8938137346,55.3448307428,110.362267328,22.9894383449,27.6162604792
paulba,131.0,50,0.413223140496,0.711991984907,36,0.297520661157,5,0.0413223140496,58.2975206612,32.8115378383,61.0468319559,81.1857012843,24.5709307918,27.6501048615
loungeP,184.0,231,1.3125,1.94500014606,108,0.613636363636,3,0.0170454545455,106.295454545,23.6742424242,58.4180035651,103.814099486,21.3877318211,25.6038839238
spainclub,90.0,47,0.546511627907,0.801988469792,35,0.406976744186,0,0.0,54.023255814,44.2134062927,62.9913360693,75.9311157753,25.6456159133,25.9295708879
godiva,123.0,33,0.452054794521,0.722269935697,24,0.328767123288,4,0.0547945205479,69.7534246575,34.0692989525,54.8536126779,97.8402081145,20.3623767762,26.4170383987
starbucks,157.0,180,1.2,1.53188337241,99,0.66,8,0.0533333333333,77.16,37.4614379085,58.3843137255,91.2579552697,24.4775294608,25.8763676977
